Category,Focus Product,CB Version,Accronym,Naming Convention SDDC Roles Based Training slide,Official Course Name (versions separated by slash),GA,Duration [h],Cost [USD],Delivery Mode,Delivery Location,Course URL,Acronym (repeat),Cert ID 1,Cert ID 2,Cert ID 3,Cert ID 4,Cert ID 5,Cert ID 6
SDDC,vRA,7.0,vRA6 ICM,"VMware vCloud Automation Center: Install, Configure, Manage [V6.0]","VMware vCloud Automation Center: Install, Configure, Manage [V6.0]",yes,40.0,1300,Instructor Lead,remote,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=52386,vRA6 ICM,52386,,,,,
SDDC,vROps,7.0,vROps6 ICM,"VMware vRealize Operations Manager: Install, Configure, Manage [V6.0]","VMware vRealize Operations Manager: Install, Configure, Manage [V6.0]",yes,40.0,1300,Instructor Lead,remote,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=58804,vROps6 ICM,58804,,,,,
SDDC,SRM,7.0,SRM5.8 ICM,Site Recovery Manager ICM 5.8,"VMware vCenter Site Recovery Manager: Install, Configure, Manage [V5.8]",yes,16.0,700,Instructor Lead,remote,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=57539,SRM5.8 ICM,57539,,,,,
SDDC,vCM,7.0,vCM5.7 ICM,"VMware vCenter Configuration Manager: Install, Configure, Manage [V5.7]","VMware vCenter Configuration Manager: Install, Configure, Manage [V5.7]",yes,24.0,1100,Instructor Lead,remote,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=54098,vCM5.7 ICM,54098,,,,,
SDDC,vRB,7.0,vRB CI,VMware vRealize Business: Costing and Implementation,VMware vRealize Business: Costing and Implementation,no,32.0,1000,Instructor Lead,remote,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=60145,vRB CI,60145,,,,,
EUC,Horizon View,7.0,HV6 ICM,"Horizon (with View): Install, Configure, Manage [V6]","Horizon (with View): Install, Configure, Manage [V6]",yes,32.0,1000,Instructor Lead,classroom,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=56163,HV6 ICM,56163,,,,,
EUC,Horizon Mirage,7.0,HVM6 FT,VMware Mirage [V5.0] and Horizon with View [V6.0]: Fast Track,VMware Mirage [V5.0] and Horizon with View [V6.0]: Fast Track,yes,40.0,1300,Instructor Lead,remote,https://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=60149,HVM6 FT,60149,,,,,
EUC,Horizon View,7.0,HV TS,Horizon View 6 Troubleshooting,Horizon View 6 Troubleshooting,no,22.5,1100,Instructor Lead,remote,,HV TS,,,,,,
EUC,Horizon View,7.0,HVDT5.1 FT,View: Desktop Fast Track [V5.1],View: Desktop Fast Track [V5.1],yes,40.0,1300,Instructor Lead,classroom,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=40788,HVDT5.1 FT,40788,,,,,
EUC,Horizon View,7.0,HV6 DW,,VMware View 6 Design: Best Practices,yes,24.0,1100,Instructor Lead,classroom,https://mylearn.vmware.com/mgrreg/courses.cfm?ui=sso&a=one&id_subject=64754,HV6 DW,32452,64754,,,,
